id,category,species_id,pokemon_id,form_id,variant,orientation,shiny,animated,format,width,height,frame_count,size_bytes,sha256,source_id,source_revision,source_path,local_path,license_status,compatibility_score,compatibility_class,runtime_enabled,replacement_required
pokemon:0003-venusaur:battle-sprite:back-shiny,battle-sprite,3,3,,back-shiny,back,true,false,png,96,96,1,1326,0e7e1dd9fbca612e44c355de32b3e1edca62eaa2c1d65638e5a44fac93d93f77,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/3.png,content/packs/pokemon-canonical/creatures/0003-venusaur/sprites/0003-venusaur--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0003-venusaur:battle-sprite:front-shiny,battle-sprite,3,3,,front-shiny,front,true,false,png,96,96,1,1534,22df3773b1c63c261fc7424da86bfbba94afbc38bc47aabffca794162a8e6950,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/3.png,content/packs/pokemon-canonical/creatures/0003-venusaur/sprites/0003-venusaur--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0004-charmander:battle-sprite:front-normal,battle-sprite,4,4,,front-normal,front,false,false,png,96,96,1,583,4e943ded73aff00aa8323800481412cf0912649d640f5ad5021e8e1e2b3e77c6,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/4.png,content/packs/pokemon-canonical/creatures/0004-charmander/sprites/0004-charmander--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0004-charmander:battle-sprite:back-normal,battle-sprite,4,4,,back-normal,back,false,false,png,96,96,1,507,e0be9cacd9ef58bf496fb300b6ec1cf35027e34152b6d017739250836796abd7,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/4.png,content/packs/pokemon-canonical/creatures/0004-charmander/sprites/0004-charmander--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0004-charmander:battle-sprite:back-shiny,battle-sprite,4,4,,back-shiny,back,true,false,png,96,96,1,505,747ae13bb1981680c06c3986076d824db89a83680625955ba498361937fc3593,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/4.png,content/packs/pokemon-canonical/creatures/0004-charmander/sprites/0004-charmander--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0004-charmander:battle-sprite:front-shiny,battle-sprite,4,4,,front-shiny,front,true,false,png,96,96,1,582,03276b20facf397755c89ecf5e894c43972c0c0c24b4a5d3bba16ebe0748754e,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/4.png,content/packs/pokemon-canonical/creatures/0004-charmander/sprites/0004-charmander--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0005-charmeleon:battle-sprite:front-normal,battle-sprite,5,5,,front-normal,front,false,false,png,96,96,1,832,bcde3e81319fa632e1aa953ea3ea07752b7b467f268f3ef8079f23c81b07b1e4,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/5.png,content/packs/pokemon-canonical/creatures/0005-charmeleon/sprites/0005-charmeleon--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0005-charmeleon:battle-sprite:back-normal,battle-sprite,5,5,,back-normal,back,false,false,png,96,96,1,765,8fc9f7c47fa8bdabf9b6e4796a6e0ac6251333b2746bfb01a12140516e31b933,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/5.png,content/packs/pokemon-canonical/creatures/0005-charmeleon/sprites/0005-charmeleon--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0005-charmeleon:battle-sprite:back-shiny,battle-sprite,5,5,,back-shiny,back,true,false,png,96,96,1,764,0095a5557a91d35d71a5bec4eb186c1be0f7ead60c2fe49b13a4dffc012d8ed3,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/5.png,content/packs/pokemon-canonical/creatures/0005-charmeleon/sprites/0005-charmeleon--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0005-charmeleon:battle-sprite:front-shiny,battle-sprite,5,5,,front-shiny,front,true,false,png,96,96,1,832,41686a47cd2405759a032dff6123587b05cb8e320564a568961024973ba1225a,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/5.png,content/packs/pokemon-canonical/creatures/0005-charmeleon/sprites/0005-charmeleon--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0006-charizard:battle-sprite:front-normal,battle-sprite,6,6,,front-normal,front,false,false,png,96,96,1,1330,53358b7e8be91014bd18285862bd56c0549b5d23af175deb59f0e6f6339c878f,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/6.png,content/packs/pokemon-canonical/creatures/0006-charizard/sprites/0006-charizard--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0006-charizard:battle-sprite:back-normal,battle-sprite,6,6,,back-normal,back,false,false,png,96,96,1,1154,4379d6d2702e49ef34c39c2ee9f962d60cebdd8c1d30c16dadf927a97d2523d9,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/6.png,content/packs/pokemon-canonical/creatures/0006-charizard/sprites/0006-charizard--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0006-charizard:battle-sprite:back-shiny,battle-sprite,6,6,,back-shiny,back,true,false,png,96,96,1,1154,cf5a94358daedd85630e3e86108b413081601db595d68fbeaf3e49b285e38cf5,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/6.png,content/packs/pokemon-canonical/creatures/0006-charizard/sprites/0006-charizard--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0006-charizard:battle-sprite:front-shiny,battle-sprite,6,6,,front-shiny,front,true,false,png,96,96,1,1331,2d446ec06d760e87a1454d25e715443898742373c7e4bc9ed95e24b1f8ef985e,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/6.png,content/packs/pokemon-canonical/creatures/0006-charizard/sprites/0006-charizard--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0007-squirtle:battle-sprite:front-normal,battle-sprite,7,7,,front-normal,front,false,false,png,96,96,1,575,1309dd0971ab7c5cd1699fa6ead8b00c9d8fa7f39e09313e697b3d31527f0517,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/7.png,content/packs/pokemon-canonical/creatures/0007-squirtle/sprites/0007-squirtle--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0007-squirtle:battle-sprite:back-normal,battle-sprite,7,7,,back-normal,back,false,false,png,96,96,1,513,bc678a19df0e76968dbc97ecfb9b3864b55efdf0bc78cabe28eeaffa30933da3,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/7.png,content/packs/pokemon-canonical/creatures/0007-squirtle/sprites/0007-squirtle--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0007-squirtle:battle-sprite:back-shiny,battle-sprite,7,7,,back-shiny,back,true,false,png,96,96,1,514,021a70a4de19ee086483710663f3bd791f6cd6de3b6302fedb9f713bddc1feb9,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/7.png,content/packs/pokemon-canonical/creatures/0007-squirtle/sprites/0007-squirtle--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0007-squirtle:battle-sprite:front-shiny,battle-sprite,7,7,,front-shiny,front,true,false,png,96,96,1,576,d310e2ef1b0c2e035ccc5415ca5abeeeadf20765e5237bd0fcebbe158898aa57,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/7.png,content/packs/pokemon-canonical/creatures/0007-squirtle/sprites/0007-squirtle--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0008-wartortle:battle-sprite:front-normal,battle-sprite,8,8,,front-normal,front,false,false,png,96,96,1,946,b134db468e452916048b96f574d7a2342b401ddb67c061473a88d92e78943f48,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/8.png,content/packs/pokemon-canonical/creatures/0008-wartortle/sprites/0008-wartortle--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0008-wartortle:battle-sprite:back-normal,battle-sprite,8,8,,back-normal,back,false,false,png,96,96,1,854,73e2d648b6e469e2009dfd71bac7494c958912efd444d255fc1dbb4fba1edaa3,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/8.png,content/packs/pokemon-canonical/creatures/0008-wartortle/sprites/0008-wartortle--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0008-wartortle:battle-sprite:back-shiny,battle-sprite,8,8,,back-shiny,back,true,false,png,96,96,1,851,a8b860568ebe086564ede17205d7bd189d5e32bce1e471d9c70722d9c246e97c,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/8.png,content/packs/pokemon-canonical/creatures/0008-wartortle/sprites/0008-wartortle--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0008-wartortle:battle-sprite:front-shiny,battle-sprite,8,8,,front-shiny,front,true,false,png,96,96,1,946,a1cd253131a3171e652306042a25498c3eee6ff24d2e6c387e8f9b4d46f75de7,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/8.png,content/packs/pokemon-canonical/creatures/0008-wartortle/sprites/0008-wartortle--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0009-blastoise:battle-sprite:front-normal,battle-sprite,9,9,,front-normal,front,false,false,png,96,96,1,1170,440579ff6026385631d7fe17377e5e58da3f0088531afffb527fbb8c3936dc34,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/9.png,content/packs/pokemon-canonical/creatures/0009-blastoise/sprites/0009-blastoise--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0009-blastoise:battle-sprite:back-normal,battle-sprite,9,9,,back-normal,back,false,false,png,96,96,1,952,65d7dbb10e578745000e1dcb57a5fec097a28318b3e6417eb669c0c9bf507aa5,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/9.png,content/packs/pokemon-canonical/creatures/0009-blastoise/sprites/0009-blastoise--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0009-blastoise:battle-sprite:back-shiny,battle-sprite,9,9,,back-shiny,back,true,false,png,96,96,1,952,40d77ba8db4c6e717d7efe69a68a0e5eb31a886c49c44a7f6c28ca335882b5ee,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/9.png,content/packs/pokemon-canonical/creatures/0009-blastoise/sprites/0009-blastoise--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0009-blastoise:battle-sprite:front-shiny,battle-sprite,9,9,,front-shiny,front,true,false,png,96,96,1,1170,ac67dd52c824d5e3de0366da4bfcaec9c3f359796afbec09c11083500dac1d81,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/9.png,content/packs/pokemon-canonical/creatures/0009-blastoise/sprites/0009-blastoise--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0010-caterpie:battle-sprite:front-normal,battle-sprite,10,10,,front-normal,front,false,false,png,96,96,1,568,a1289541d01ae034b4549742a999838967dbda70b2a194fa38271f5a24e7e132,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/10.png,content/packs/pokemon-canonical/creatures/0010-caterpie/sprites/0010-caterpie--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0010-caterpie:battle-sprite:back-normal,battle-sprite,10,10,,back-normal,back,false,false,png,96,96,1,473,67d5eb67d801f5c226100b31d462136401c1f94193cc3bcc653689f92bf9af85,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/10.png,content/packs/pokemon-canonical/creatures/0010-caterpie/sprites/0010-caterpie--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0010-caterpie:battle-sprite:back-shiny,battle-sprite,10,10,,back-shiny,back,true,false,png,96,96,1,476,d569f9732e3333b5d1e4eb26dd6dab54220d40fed3d33de3f186cd165e607e56,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/10.png,content/packs/pokemon-canonical/creatures/0010-caterpie/sprites/0010-caterpie--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0010-caterpie:battle-sprite:front-shiny,battle-sprite,10,10,,front-shiny,front,true,false,png,96,96,1,570,add74a582c9699cf56a5f4d6ce7f85b5ad232d154c7dbc9c00ed725b726851e0,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/10.png,content/packs/pokemon-canonical/creatures/0010-caterpie/sprites/0010-caterpie--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0011-metapod:battle-sprite:front-normal,battle-sprite,11,11,,front-normal,front,false,false,png,96,96,1,409,0f8865a2a3b4ccc48f158033d56d4f50f8a8a43fb02a4c41f3a74d0f41d7b558,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/11.png,content/packs/pokemon-canonical/creatures/0011-metapod/sprites/0011-metapod--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0011-metapod:battle-sprite:back-normal,battle-sprite,11,11,,back-normal,back,false,false,png,96,96,1,405,6e1451d436e8e5756c0f5cb2c326938fb70fbe650a0ff2461249600873286b63,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/11.png,content/packs/pokemon-canonical/creatures/0011-metapod/sprites/0011-metapod--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0011-metapod:battle-sprite:back-shiny,battle-sprite,11,11,,back-shiny,back,true,false,png,96,96,1,405,e77c96d2fc025fca475b0d535c4f506f01eaac61e3bf9ea016fb53c0bee6f06a,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/11.png,content/packs/pokemon-canonical/creatures/0011-metapod/sprites/0011-metapod--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0011-metapod:battle-sprite:front-shiny,battle-sprite,11,11,,front-shiny,front,true,false,png,96,96,1,409,9a9b4409224efccbe191d0700280006fc6dd7a4d3ee7ba4774911e1f77168dc9,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/11.png,content/packs/pokemon-canonical/creatures/0011-metapod/sprites/0011-metapod--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0012-butterfree:battle-sprite:front-normal,battle-sprite,12,12,,front-normal,front,false,false,png,96,96,1,925,468fd8600f9ac15c8a45668a3feaf68fd896d9a61480540c22315c2f5cc12869,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/12.png,content/packs/pokemon-canonical/creatures/0012-butterfree/sprites/0012-butterfree--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0012-butterfree:battle-sprite:back-normal,battle-sprite,12,12,,back-normal,back,false,false,png,96,96,1,812,34fce2fbad444fd456496f1b464c655e49ba0c4bff2f9c8e351220ffbbe2dd93,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/12.png,content/packs/pokemon-canonical/creatures/0012-butterfree/sprites/0012-butterfree--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0012-butterfree:battle-sprite:back-shiny,battle-sprite,12,12,,back-shiny,back,true,false,png,96,96,1,812,b4e29baee1fedb3be7f18cbb48b30b7181a2dc18c6e3d9c1d762046736998b0e,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/12.png,content/packs/pokemon-canonical/creatures/0012-butterfree/sprites/0012-butterfree--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0012-butterfree:battle-sprite:front-shiny,battle-sprite,12,12,,front-shiny,front,true,false,png,96,96,1,925,cbddf1eb43e7519d0b50ad8f77cc9f74b890e4fdc30fb9ad87330281d897d3a1,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/12.png,content/packs/pokemon-canonical/creatures/0012-butterfree/sprites/0012-butterfree--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0013-weedle:battle-sprite:front-normal,battle-sprite,13,13,,front-normal,front,false,false,png,96,96,1,465,599f25195879e0b4cd4fafdc8bbb79ea4c5a761bc4aa185d9d87b5591e4781a3,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/13.png,content/packs/pokemon-canonical/creatures/0013-weedle/sprites/0013-weedle--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0013-weedle:battle-sprite:back-normal,battle-sprite,13,13,,back-normal,back,false,false,png,96,96,1,448,c4c126518e8a536a8a6d4241969a89c5049ea7686f5d4c48e638a5ee55d53c4a,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/13.png,content/packs/pokemon-canonical/creatures/0013-weedle/sprites/0013-weedle--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0013-weedle:battle-sprite:back-shiny,battle-sprite,13,13,,back-shiny,back,true,false,png,96,96,1,450,250bb0dc032c8febe1b86fee582ebce69b6aa81f3f3da0cfa46019d45ce0683c,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/13.png,content/packs/pokemon-canonical/creatures/0013-weedle/sprites/0013-weedle--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0013-weedle:battle-sprite:front-shiny,battle-sprite,13,13,,front-shiny,front,true,false,png,96,96,1,469,cb70b2151d5dc9858fd0c4d52b703ec91a795b8edcaf15743f6cec498d4a27f3,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/13.png,content/packs/pokemon-canonical/creatures/0013-weedle/sprites/0013-weedle--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0014-kakuna:battle-sprite:front-normal,battle-sprite,14,14,,front-normal,front,false,false,png,96,96,1,445,060dfe484c7520cfdaaae959f4ac40fea4bdc2040b1a34f81d072a248c77f95c,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/14.png,content/packs/pokemon-canonical/creatures/0014-kakuna/sprites/0014-kakuna--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0014-kakuna:battle-sprite:back-normal,battle-sprite,14,14,,back-normal,back,false,false,png,96,96,1,408,4f95452fd584d88b468eb9037692c1ace850f5a938152e3e11959f5f580424ec,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/14.png,content/packs/pokemon-canonical/creatures/0014-kakuna/sprites/0014-kakuna--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0014-kakuna:battle-sprite:back-shiny,battle-sprite,14,14,,back-shiny,back,true,false,png,96,96,1,408,643e63c9797a1ae980c991312d254fe1eca06726a27831171e49e04bdd907dd6,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/14.png,content/packs/pokemon-canonical/creatures/0014-kakuna/sprites/0014-kakuna--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0014-kakuna:battle-sprite:front-shiny,battle-sprite,14,14,,front-shiny,front,true,false,png,96,96,1,445,06e82c79c0c99deba85c97ce7041e2407a553ed7e3dab128979c254c05fd2f6e,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/shiny/14.png,content/packs/pokemon-canonical/creatures/0014-kakuna/sprites/0014-kakuna--pokeapi-default--front--shiny.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0015-beedrill:battle-sprite:front-normal,battle-sprite,15,15,,front-normal,front,false,false,png,96,96,1,1019,e664ed91c3789fe42de1373346f9796f167dfdf8ee39061a97287922f5394b78,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/15.png,content/packs/pokemon-canonical/creatures/0015-beedrill/sprites/0015-beedrill--pokeapi-default--front--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0015-beedrill:battle-sprite:back-normal,battle-sprite,15,15,,back-normal,back,false,false,png,96,96,1,855,c2a9cfa35f48e66ab8c092fcd9eda92d099e1e6f021c6200820a1690af79260d,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/15.png,content/packs/pokemon-canonical/creatures/0015-beedrill/sprites/0015-beedrill--pokeapi-default--back--normal.png,doubtful,100,temporary-baseline-only,false,true
pokemon:0015-beedrill:battle-sprite:back-shiny,battle-sprite,15,15,,back-shiny,back,true,false,png,96,96,1,853,b166cffdc2e5b8c25bbe398c3707a319f5561e1c5d92fca5200ecbeec60d2a7c,pokeapi-sprites,bf4c47ac82c33b330e33d98b8882d1cedb2f53e7,sprites/pokemon/back/shiny/15.png,content/packs/pokemon-canonical/creatures/0015-beedrill/sprites/0015-beedrill--pokeapi-default--back--shiny.png,doubtful,100,temporary-baseline-only,false,true
